id,book,chapter,verse,language,sentence_length,number_words,clause_length
426985,Genesis,4,20,hbo,1,5,5.0
426986,Genesis,4,20,hbo,1,7,7.0
426987,Genesis,4,21,hbo,1,4,4.0
426988,Genesis,4,21,hbo,1,8,8.0
426990,Genesis,4,22,hbo,2,13,6.5
426991,Genesis,4,22,hbo,1,4,4.0
426992,Genesis,4,23,hbo,1,8,8.0
426994,Genesis,4,23,hbo,2,4,2.0
426995,Genesis,4,23,hbo,1,2,2.0
426997,Genesis,4,23,hbo,2,9,4.5
426999,Genesis,4,24,hbo,2,9,4.5
427000,Genesis,4,25,hbo,1,6,6.0
427001,Genesis,4,25,hbo,1,3,3.0
427002,Genesis,4,25,hbo,1,5,5.0
427003,Genesis,4,25,hbo,1,8,8.0
427004,Genesis,4,25,hbo,1,3,3.0
427005,Genesis,4,26,hbo,1,7,7.0
427006,Genesis,4,26,hbo,1,5,5.0
427008,Genesis,4,26,hbo,2,7,3.5
427009,Genesis,5,1,hbo,1,4,4.0
427011,Genesis,5,1,hbo,2,10,5.0
427012,Genesis,5,2,hbo,1,4,4.0
427013,Genesis,5,2,hbo,1,3,3.0
427015,Genesis,5,2,hbo,2,8,4.0
427016,Genesis,5,3,hbo,1,7,7.0
427017,Genesis,5,3,hbo,1,6,6.0
427018,Genesis,5,3,hbo,1,5,5.0
427020,Genesis,5,4,hbo,2,11,5.5
427021,Genesis,5,4,hbo,1,5,5.0
427023,Genesis,5,5,hbo,2,13,6.5
427024,Genesis,5,5,hbo,1,2,2.0
427025,Genesis,5,6,hbo,1,8,8.0
427026,Genesis,5,6,hbo,1,4,4.0
427028,Genesis,5,7,hbo,2,13,6.5
427029,Genesis,5,7,hbo,1,5,5.0
427030,Genesis,5,8,hbo,1,12,12.0
427031,Genesis,5,8,hbo,1,2,2.0
427032,Genesis,5,9,hbo,1,5,5.0
427033,Genesis,5,9,hbo,1,4,4.0
427035,Genesis,5,10,hbo,2,14,7.0
427036,Genesis,5,10,hbo,1,5,5.0
427037,Genesis,5,11,hbo,1,11,11.0
427038,Genesis,5,11,hbo,1,2,2.0
427039,Genesis,5,12,hbo,1,5,5.0
427040,Genesis,5,12,hbo,1,4,4.0
427042,Genesis,5,13,hbo,2,13,6.5
427043,Genesis,5,13,hbo,1,5,5.0
427044,Genesis,5,14,hbo,1,11,11.0
427045,Genesis,5,14,hbo,1,2,2.0
427046,Genesis,5,15,hbo,1,8,8.0
427047,Genesis,5,15,hbo,1,4,4.0
427049,Genesis,5,16,hbo,2,13,6.5
427050,Genesis,5,16,hbo,1,5,5.0
427051,Genesis,5,17,hbo,1,13,13.0
427052,Genesis,5,17,hbo,1,2,2.0
427053,Genesis,5,18,hbo,1,10,10.0
427054,Genesis,5,18,hbo,1,4,4.0
427056,Genesis,5,19,hbo,2,10,5.0
427057,Genesis,5,19,hbo,1,5,5.0
427058,Genesis,5,20,hbo,1,13,13.0
427059,Genesis,5,20,hbo,1,2,2.0
427060,Genesis,5,21,hbo,1,7,7.0
427061,Genesis,5,21,hbo,1,4,4.0
427063,Genesis,5,22,hbo,2,13,6.5
427064,Genesis,5,22,hbo,1,5,5.0
427065,Genesis,5,23,hbo,1,13,13.0
427066,Genesis,5,24,hbo,1,6,6.0
427067,Genesis,5,24,hbo,1,2,2.0
427068,Genesis,5,24,hbo,1,4,4.0
427069,Genesis,5,25,hbo,1,10,10.0
427070,Genesis,5,25,hbo,1,4,4.0
427072,Genesis,5,26,hbo,2,15,7.5
427073,Genesis,5,26,hbo,1,5,5.0
427074,Genesis,5,27,hbo,1,13,13.0
427075,Genesis,5,27,hbo,1,2,2.0
427076,Genesis,5,28,hbo,1,10,10.0
427077,Genesis,5,28,hbo,1,3,3.0
427079,Genesis,5,29,hbo,2,7,3.5
427081,Genesis,5,29,hbo,2,14,7.0
427083,Genesis,5,30,hbo,2,15,7.5
427084,Genesis,5,30,hbo,1,5,5.0
427085,Genesis,5,31,hbo,1,13,13.0
