id,book,chapter,verse,language,sentence_length,number_words,clause_length
15737,1QS,5,17,Hebrew,1,3,3.0
15738,1QS,5,17,Hebrew,1,4,4.0
15743,1QS,5,18,Hebrew,4,13,3.25
15747,1QS,5,19,Hebrew,4,15,3.75
15750,1QS,5,20,Hebrew,3,18,6.0
15751,1QS,5,20,Hebrew,1,2,2.0
15754,1QS,5,21,Hebrew,3,13,4.333333333333333
15755,1QS,5,21,Hebrew,1,4,4.0
15758,1QS,5,22,Hebrew,3,11,3.6666666666666665
15759,1QS,5,22,Hebrew,1,3,3.0
15761,1QS,5,23,Hebrew,2,10,5.0
15762,1QS,5,23,Hebrew,1,4,4.0
15767,1QS,5,24,Hebrew,5,24,4.8
15768,1QS,5,24,Hebrew,1,4,4.0
15769,1QS,5,25,Hebrew,1,9,9.0
15770,1QS,5,25,Hebrew,1,9,9.0
15771,1QS,5,25,Hebrew,1,7,7.0
15773,1QS,5,26,Hebrew,2,13,6.5
15774,1QS,5,27,Hebrew,1,4,4.0
15775,1QS,5,27,Hebrew,1,5,5.0
15776,1QS,5,27,Hebrew,1,6,6.0
15784,1QS,5,28,Hebrew,8,42,5.25
15789,1QS,5,29,Hebrew,5,33,6.6
15792,1QS,6,1,Hebrew,3,19,6.333333333333333
15798,1QS,6,1,Hebrew,4,23,5.75
15796,1QS,6,1,Hebrew,1,12,12.0
15797,1QS,6,1,Hebrew,1,4,4.0
15799,1QS,6,1,Hebrew,1,14,14.0
15801,1QS,6,2,Hebrew,2,32,16.0
15802,1QS,6,2,Hebrew,1,5,5.0
15803,1QS,6,2,Hebrew,1,8,8.0
15804,1QS,6,3,Hebrew,1,6,6.0
15805,1QS,6,3,Hebrew,1,4,4.0
15806,1QS,6,3,Hebrew,1,6,6.0
15807,1QS,6,3,Hebrew,1,12,12.0
15808,1QS,6,3,Hebrew,1,5,5.0
15810,1QS,6,3,Hebrew,2,13,6.5
15813,1QS,6,4,Hebrew,3,14,4.666666666666667
15814,1QS,6,4,Hebrew,1,3,3.0
15816,1QS,6,4,Hebrew,2,20,10.0
15819,1QS,6,5,Hebrew,3,23,7.666666666666667
15820,1QS,6,6,Hebrew,1,14,14.0
15823,1QS,6,6,Hebrew,3,18,6.0
15824,1QS,6,6,Hebrew,1,3,3.0
15825,1QS,6,6,Hebrew,1,6,6.0
15826,1QS,6,6,Hebrew,1,8,8.0
15830,1QS,6,7,Hebrew,4,19,4.75
15831,1QS,6,7,Hebrew,1,10,10.0
15833,1QS,6,8,Hebrew,2,27,13.5
15836,1QS,6,8,Hebrew,3,20,6.666666666666667
15837,1QS,6,9,Hebrew,1,10,10.0
15838,1QS,6,9,Hebrew,1,6,6.0
15840,1QS,6,10,Hebrew,2,13,6.5
15843,1QS,6,11,Hebrew,3,16,5.333333333333333
15850,1QS,6,12,Hebrew,7,37,5.285714285714286
15851,1QS,6,12,Hebrew,1,4,4.0
15852,1QS,6,13,Hebrew,1,18,18.0
