id,book,chapter,verse,language,number_phrases,number_words,ratio
427046,Genesis,5,15,hbo,4,8,2.0
427047,Genesis,5,15,hbo,3,4,1.3333333333333333
427048,Genesis,5,16,hbo,4,9,2.25
427049,Genesis,5,16,hbo,2,4,2.0
427050,Genesis,5,16,hbo,3,5,1.6666666666666667
427051,Genesis,5,17,hbo,4,13,3.25
427052,Genesis,5,17,hbo,2,2,1.0
427053,Genesis,5,18,hbo,4,10,2.5
427054,Genesis,5,18,hbo,3,4,1.3333333333333333
427055,Genesis,5,19,hbo,4,6,1.5
427056,Genesis,5,19,hbo,2,4,2.0
427057,Genesis,5,19,hbo,3,5,1.6666666666666667
427058,Genesis,5,20,hbo,4,13,3.25
427059,Genesis,5,20,hbo,2,2,1.0
427060,Genesis,5,21,hbo,4,7,1.75
427061,Genesis,5,21,hbo,3,4,1.3333333333333333
427062,Genesis,5,22,hbo,5,9,1.8
427063,Genesis,5,22,hbo,2,4,2.0
427064,Genesis,5,22,hbo,3,5,1.6666666666666667
427065,Genesis,5,23,hbo,4,13,3.25
427066,Genesis,5,24,hbo,4,6,1.5
427067,Genesis,5,24,hbo,2,2,1.0
427068,Genesis,5,24,hbo,4,4,1.0
427069,Genesis,5,25,hbo,4,10,2.5
427070,Genesis,5,25,hbo,3,4,1.3333333333333333
427071,Genesis,5,26,hbo,4,11,2.75
427072,Genesis,5,26,hbo,2,4,2.0
427073,Genesis,5,26,hbo,3,5,1.6666666666666667
427074,Genesis,5,27,hbo,4,13,3.25
427075,Genesis,5,27,hbo,2,2,1.0
427076,Genesis,5,28,hbo,4,10,2.5
427077,Genesis,5,28,hbo,3,3,1.0
427078,Genesis,5,29,hbo,4,5,1.25
427079,Genesis,5,29,hbo,1,2,2.0
427080,Genesis,5,29,hbo,4,11,2.75
427081,Genesis,5,29,hbo,3,3,1.0
427082,Genesis,5,30,hbo,4,11,2.75
427083,Genesis,5,30,hbo,2,4,2.0
427084,Genesis,5,30,hbo,3,5,1.6666666666666667
427085,Genesis,5,31,hbo,4,13,3.25
427086,Genesis,5,31,hbo,2,2,1.0
427087,Genesis,5,32,hbo,4,7,1.75
427088,Genesis,5,32,hbo,4,10,2.5
427089,Genesis,6,1,hbo,2,2,1.0
427090,Genesis,6,1,hbo,3,4,1.3333333333333333
427091,Genesis,6,1,hbo,2,6,3.0
427092,Genesis,6,1,hbo,4,4,1.0
427093,Genesis,6,2,hbo,4,9,2.25
427094,Genesis,6,2,hbo,3,3,1.0
427095,Genesis,6,2,hbo,5,6,1.2
427096,Genesis,6,2,hbo,2,2,1.0
427097,Genesis,6,3,hbo,3,3,1.0
427098,Genesis,6,3,hbo,5,8,1.6
427099,Genesis,6,3,hbo,3,5,1.6666666666666667
427100,Genesis,6,3,hbo,4,7,1.75
427101,Genesis,6,4,hbo,4,11,2.75
427102,Genesis,6,4,hbo,3,4,1.3333333333333333
427103,Genesis,6,4,hbo,4,9,2.25
427104,Genesis,6,4,hbo,3,3,1.0
427105,Genesis,6,4,hbo,2,3,1.5
427106,Genesis,6,4,hbo,2,3,1.5
427107,Genesis,6,4,hbo,1,3,3.0
427108,Genesis,6,5,hbo,3,3,1.0
427109,Genesis,6,5,hbo,4,8,2.0
427110,Genesis,6,5,hbo,5,10,2.0
427111,Genesis,6,6,hbo,3,3,1.0
427112,Genesis,6,6,hbo,4,8,2.0
427113,Genesis,6,6,hbo,3,4,1.3333333333333333
427114,Genesis,6,7,hbo,3,3,1.0
427115,Genesis,6,7,hbo,4,20,5.0
427116,Genesis,6,7,hbo,2,2,1.0
427117,Genesis,6,7,hbo,2,2,1.0
427118,Genesis,6,7,hbo,2,2,1.0
427119,Genesis,6,8,hbo,5,7,1.4
427120,Genesis,6,9,hbo,2,3,1.5
427121,Genesis,6,9,hbo,4,7,1.75
427122,Genesis,6,9,hbo,3,5,1.6666666666666667
427123,Genesis,6,10,hbo,4,12,3.0
427124,Genesis,6,11,hbo,4,8,2.0
427125,Genesis,6,11,hbo,4,5,1.25
427126,Genesis,6,12,hbo,4,6,1.5
427127,Genesis,6,12,hbo,3,3,1.0
427128,Genesis,6,12,hbo,5,9,1.8
427129,Genesis,6,13,hbo,4,5,1.25
427130,Genesis,6,13,hbo,3,6,2.0
427131,Genesis,6,13,hbo,5,7,1.4
427132,Genesis,6,13,hbo,4,6,1.5
427133,Genesis,6,14,hbo,3,5,1.6666666666666667
427134,Genesis,6,14,hbo,3,5,1.6666666666666667
