id,book,chapter,verse,language,number_phrases,number_words,ratio
14323,1QM,5,51,Hebrew,2,5,2.5
14324,1QM,5,51,Hebrew,5,9,1.8
14325,1QM,5,52,Hebrew,3,11,3.6666666666666665
14326,1QM,5,52,Hebrew,3,5,1.6666666666666667
14327,1QM,5,53,Hebrew,5,7,1.4
14328,1QM,5,53,Hebrew,6,11,1.8333333333333333
14329,1QM,5,53,Hebrew,3,7,2.3333333333333335
14330,1QM,5,54,Hebrew,5,15,3.0
14331,1QM,5,55,Hebrew,5,11,2.2
14332,1QM,6,1,Hebrew,1,1,1.0
14333,1QM,6,1,Hebrew,4,12,3.0
14334,1QM,6,1,Hebrew,5,16,3.2
14335,1QM,6,1,Hebrew,2,9,4.5
14336,1QM,6,1,Hebrew,3,18,6.0
14337,1QM,6,1,Hebrew,3,6,2.0
14338,1QM,6,1,Hebrew,1,2,2.0
14339,1QM,6,1,Hebrew,5,7,1.4
14340,1QM,6,2,Hebrew,4,12,3.0
14341,1QM,6,2,Hebrew,3,7,2.3333333333333335
14342,1QM,6,3,Hebrew,4,25,6.25
14343,1QM,6,4,Hebrew,4,6,1.5
14344,1QM,6,4,Hebrew,3,8,2.6666666666666665
14345,1QM,6,4,Hebrew,3,8,2.6666666666666665
14346,1QM,6,5,Hebrew,3,13,4.333333333333333
14347,1QM,6,6,Hebrew,4,9,2.25
14348,1QM,6,6,Hebrew,2,4,2.0
14349,1QM,6,7,Hebrew,4,10,2.5
14350,1QM,6,7,Hebrew,1,1,1.0
14351,1QM,6,7,Hebrew,1,2,2.0
14352,1QM,6,8,Hebrew,4,11,2.75
14353,1QM,6,8,Hebrew,2,5,2.5
14354,1QM,6,8,Hebrew,1,1,1.0
14355,1QM,6,8,Hebrew,1,4,4.0
14356,1QM,6,8,Hebrew,1,1,1.0
14357,1QM,6,8,Hebrew,1,2,2.0
14358,1QM,6,10,Hebrew,3,4,1.3333333333333333
14359,1QM,6,10,Hebrew,2,5,2.5
14360,1QM,6,10,Hebrew,2,3,1.5
14361,1QM,6,10,Hebrew,2,4,2.0
14362,1QM,6,11,Hebrew,6,11,1.8333333333333333
14363,1QM,6,11,Hebrew,3,8,2.6666666666666665
14364,1QM,6,11,Hebrew,2,5,2.5
14365,1QM,6,12,Hebrew,4,8,2.0
14366,1QM,6,12,Hebrew,4,8,2.0
14367,1QM,6,12,Hebrew,3,5,1.6666666666666667
14368,1QM,6,12,Hebrew,4,12,3.0
14369,1QM,6,13,Hebrew,5,11,2.2
14370,1QM,6,14,Hebrew,5,8,1.6
14371,1QM,6,14,Hebrew,2,4,2.0
14372,1QM,6,15,Hebrew,1,1,1.0
14373,1QM,6,15,Hebrew,3,5,1.6666666666666667
14374,1QM,6,15,Hebrew,5,14,2.8
14375,1QM,6,15,Hebrew,3,7,2.3333333333333335
14376,1QM,6,15,Hebrew,4,8,2.0
14377,1QM,6,16,Hebrew,5,12,2.4
14378,1QM,6,16,Hebrew,2,3,1.5
14379,1QM,6,17,Hebrew,4,14,3.5
14380,1QM,6,17,Hebrew,2,4,2.0
14381,1QM,6,18,Hebrew,4,9,2.25
14382,1QM,6,18,Hebrew,2,3,1.5
14383,1QM,6,19,Hebrew,2,4,2.0
14384,1QM,6,19,Hebrew,4,7,1.75
14385,1QM,6,19,Hebrew,2,4,2.0
14386,1QM,6,19,Hebrew,2,4,2.0
14387,1QM,6,19,Hebrew,3,7,2.3333333333333335
14388,1QM,6,19,Hebrew,1,2,2.0
14389,1QM,6,20,Hebrew,7,15,2.142857142857143
14390,1QM,6,21,Hebrew,4,12,3.0
14391,1QM,6,22,Hebrew,2,5,2.5
14392,1QM,6,22,Hebrew,1,1,1.0
14393,1QM,6,22,Hebrew,1,1,1.0
14394,1QM,6,22,Hebrew,1,1,1.0
14395,1QM,6,22,Hebrew,1,3,3.0
14396,1QM,6,22,Hebrew,2,3,1.5
14397,1QM,6,23,Hebrew,1,2,2.0
14398,1QM,6,23,Hebrew,1,2,2.0
14399,1QM,6,23,Hebrew,1,2,2.0
14400,1QM,6,23,Hebrew,1,1,1.0
14401,1QM,6,23,Hebrew,2,5,2.5
14402,1QM,6,23,Hebrew,1,1,1.0
14403,1QM,6,23,Hebrew,2,2,1.0
14404,1QM,6,23,Hebrew,1,1,1.0
14405,1QM,6,25,Hebrew,2,3,1.5
14406,1QM,6,25,Hebrew,2,4,2.0
14407,1QM,6,25,Hebrew,4,9,2.25
14408,1QM,6,26,Hebrew,5,9,1.8
14409,1QM,6,26,Hebrew,2,4,2.0
14410,1QM,6,26,Hebrew,2,4,2.0
14411,1QM,6,26,Hebrew,3,4,1.3333333333333333
14412,1QM,6,27,Hebrew,3,4,1.3333333333333333
14413,1QM,6,27,Hebrew,2,3,1.5
14414,1QM,6,27,Hebrew,4,8,2.0
14415,1QM,6,27,Hebrew,3,6,2.0
14416,1QM,6,27,Hebrew,5,13,2.6
14417,1QM,6,28,Hebrew,3,7,2.3333333333333335
14418,1QM,6,28,Hebrew,2,2,1.0
14419,1QM,6,28,Hebrew,2,15,7.5
14420,1QM,6,29,Hebrew,2,3,1.5
14421,1QM,6,29,Hebrew,4,9,2.25
14422,1QM,6,30,Hebrew,5,10,2.0
14423,1QM,6,30,Hebrew,1,1,1.0
14424,1QM,6,30,Hebrew,1,4,4.0
14425,1QM,6,30,Hebrew,2,3,1.5
14426,1QM,6,31,Hebrew,5,11,2.2
14427,1QM,6,32,Hebrew,5,7,1.4
14428,1QM,6,32,Hebrew,2,4,2.0
14429,1QM,6,32,Hebrew,4,7,1.75
14430,1QM,6,32,Hebrew,2,6,3.0
14431,1QM,6,32,Hebrew,3,3,1.0
14432,1QM,6,33,Hebrew,4,10,2.5
14433,1QM,6,34,Hebrew,1,1,1.0
14434,1QM,6,34,Hebrew,2,6,3.0
14435,1QM,6,34,Hebrew,3,5,1.6666666666666667
14436,1QM,6,34,Hebrew,1,1,1.0
14437,1QM,6,34,Hebrew,1,1,1.0
14438,1QM,6,34,Hebrew,1,8,8.0
14439,1QM,6,35,Hebrew,3,4,1.3333333333333333
14440,1QM,6,35,Hebrew,3,3,1.0
14441,1QM,6,35,Hebrew,2,2,1.0
14442,1QM,6,35,Hebrew,1,1,1.0
14443,1QM,6,35,Hebrew,1,1,1.0
14444,1QM,6,35,Hebrew,1,3,3.0
14445,1QM,6,35,Hebrew,1,1,1.0
14446,1QM,6,35,Hebrew,1,1,1.0
14447,1QM,6,36,Hebrew,2,4,2.0
14448,1QM,6,36,Hebrew,3,4,1.3333333333333333
14449,1QM,6,36,Hebrew,2,3,1.5
14450,1QM,6,36,Hebrew,2,3,1.5
14451,1QM,6,37,Hebrew,5,9,1.8
14452,1QM,6,37,Hebrew,3,5,1.6666666666666667
14453,1QM,6,38,Hebrew,1,1,1.0
14454,1QM,6,38,Hebrew,4,11,2.75
14455,1QM,6,39,Hebrew,3,6,2.0
14456,1QM,6,39,Hebrew,2,4,2.0
14457,1QM,6,39,Hebrew,3,5,1.6666666666666667
